Date : 2025-05-11 05:28:25
Directory : c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src
Total : 126 files,  15210 codes, 186 comments, 848 blanks, all 16244 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| features\dashboard\notifications\types                                                                                                                  |          1 |         38 |          0 |          2 |         40 |
| features\dashboard\products                                                                                                                             |         12 |      3,057 |         12 |        147 |      3,216 |
| features\dashboard\products (Files)                                                                                                                     |          1 |         18 |          0 |          4 |         22 |
| features\dashboard\products\components                                                                                                                  |          3 |      1,878 |          8 |         52 |      1,938 |
| features\dashboard\products\hooks                                                                                                                       |          6 |        532 |          4 |         58 |        594 |
| features\dashboard\products\services                                                                                                                    |          1 |        547 |          0 |         25 |        572 |
| features\dashboard\products\types                                                                                                                       |          1 |         82 |          0 |          8 |         90 |
| features\dashboard\profile                                                                                                                              |          6 |        643 |         12 |         50 |        705 |
| features\dashboard\profile (Files)                                                                                                                      |          1 |         26 |          1 |          4 |         31 |
| features\dashboard\profile\components                                                                                                                   |          2 |        334 |          3 |         16 |        353 |
| features\dashboard\profile\hooks                                                                                                                        |          1 |        234 |          8 |         23 |        265 |
| features\dashboard\profile\services                                                                                                                     |          1 |         19 |          0 |          4 |         23 |
| features\dashboard\profile\types                                                                                                                        |          1 |         30 |          0 |          3 |         33 |
| features\dashboard\records                                                                                                                              |          9 |      2,053 |         23 |         99 |      2,175 |
| features\dashboard\records (Files)                                                                                                                      |          1 |         18 |          1 |          5 |         24 |
| features\dashboard\records\components                                                                                                                   |          5 |      1,564 |         15 |         63 |      1,642 |
| features\dashboard\records\hooks                                                                                                                        |          1 |        161 |          2 |         15 |        178 |
| features\dashboard\records\services                                                                                                                     |          1 |        268 |          3 |         12 |        283 |
| features\dashboard\records\types                                                                                                                        |          1 |         42 |          2 |          4 |         48 |
| features\dashboard\reviews                                                                                                                              |          6 |        541 |          4 |         31 |        576 |
| features\dashboard\reviews (Files)                                                                                                                      |          1 |         18 |          0 |          4 |         22 |
| features\dashboard\reviews\components                                                                                                                   |          2 |        406 |          4 |         15 |        425 |
| features\dashboard\reviews\hooks                                                                                                                        |          1 |         64 |          0 |          6 |         70 |
| features\dashboard\reviews\services                                                                                                                     |          1 |         46 |          0 |          5 |         51 |
| features\dashboard\reviews\types                                                                                                                        |          1 |          7 |          0 |          1 |          8 |
| features\dashboard\users                                                                                                                                |          7 |        848 |         11 |         59 |        918 |
| features\dashboard\users (Files)                                                                                                                        |          1 |        166 |          1 |         11 |        178 |
| features\dashboard\users\components                                                                                                                     |          3 |        511 |         10 |         32 |        553 |
| features\dashboard\users\hooks                                                                                                                          |          1 |         55 |          0 |          6 |         61 |
| features\dashboard\users\services                                                                                                                       |          1 |        109 |          0 |          9 |        118 |
| features\dashboard\users\types                                                                                                                          |          1 |          7 |          0 |          1 |          8 |
| features\dashboard\warranty_providers                                                                                                                   |          9 |      1,749 |          5 |         95 |      1,849 |
| features\dashboard\warranty_providers (Files)                                                                                                           |          1 |         70 |          0 |          8 |         78 |
| features\dashboard\warranty_providers\components                                                                                                        |          4 |      1,289 |          3 |         57 |      1,349 |
| features\dashboard\warranty_providers\hooks                                                                                                             |          2 |        240 |          2 |         18 |        260 |
| features\dashboard\warranty_providers\services                                                                                                          |          1 |        133 |          0 |         10 |        143 |
| features\dashboard\warranty_providers\types                                                                                                             |          1 |         17 |          0 |          2 |         19 |
| hooks                                                                                                                                                   |          1 |         13 |          0 |          5 |         18 |
| layouts                                                                                                                                                 |          2 |         44 |          1 |          7 |         52 |
| lib                                                                                                                                                     |          1 |         20 |          2 |          6 |         28 |
| locales                                                                                                                                                 |         22 |      1,636 |          0 |         20 |      1,656 |
| locales\ar                                                                                                                                              |         11 |        817 |          0 |         10 |        827 |
| locales\en                                                                                                                                              |         11 |        819 |          0 |         10 |        829 |
| routes                                                                                                                                                  |          2 |         71 |          8 |         12 |         91 |
| services                                                                                                                                                |          2 |         62 |         16 |         11 |         89 |
| styles                                                                                                                                                  |          1 |         32 |          0 |          6 |         38 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\App.tsx                                                                       | TypeScript JSX |          6 |          0 |          3 |          9 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\assets\react.svg                                                              | XML            |          1 |          0 |          0 |          1 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\common\PrelineScript.tsx                                           | TypeScript JSX |         23 |          2 |          6 |         31 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\ui\Button.tsx                                                      | TypeScript JSX |         56 |          1 |          6 |         63 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\components\ui\LanguageSwitcher.tsx                                            | TypeScript JSX |         47 |          1 |          6 |         54 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\constants\routes.ts                                                           | TypeScript     |         12 |          1 |          1 |         14 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\context\AuthContext.tsx                                                       | TypeScript JSX |         65 |          0 |          8 |         73 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\Register.tsx                                           | TypeScript JSX |         41 |          0 |          5 |         46 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\RegisterForm.tsx                                       | TypeScript JSX |        252 |          1 |          7 |        260 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\RegisterPage.tsx                                       | TypeScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\components\CompanyLogoUpload.tsx                       | TypeScript JSX |        125 |          0 |          7 |        132 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\components\CompanyLogoUploader.tsx                     | TypeScript JSX |         90 |          0 |          7 |         97 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\components\RegistrationSteps.tsx                       | TypeScript JSX |         51 |          0 |          4 |         55 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\components\UserRegistrationForm.tsx                    | TypeScript JSX |         91 |          0 |          5 |         96 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\hooks\useRegisterForm.ts                               | TypeScript     |        240 |          3 |         19 |        262 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\services\companyRegisterService.ts                     | TypeScript     |         25 |          1 |          1 |         27 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\services\userRegisterService.ts                        | TypeScript     |         20 |          0 |          1 |         21 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\types\companyRegister.ts                               | TypeScript     |         45 |          0 |          1 |         46 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\Register\types\userRegister.ts                                  | TypeScript     |         20 |          0 |          1 |         21 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\common\AuthInput.tsx                                            | TypeScript JSX |         46 |          1 |          4 |         51 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\common\BlobsBackground.tsx                                      | TypeScript JSX |         51 |          4 |          5 |         60 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\AuthForm.tsx                                              | TypeScript JSX |        138 |          1 |         12 |        151 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\Login.tsx                                                 | TypeScript JSX |         41 |          0 |          6 |         47 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\LoginPage.tsx                                             | TypeScript JSX |          5 |          0 |          3 |          8 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\hooks\useLoginForm.ts                                     | TypeScript     |         96 |          2 |         18 |        116 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\services\loginAuthService.ts                              | TypeScript     |         43 |         17 |          5 |         65 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\login\types\auth.ts                                             | TypeScript     |         26 |          0 |          4 |         30 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\auth\services\authService.ts                                         | TypeScript     |         32 |          2 |          7 |         41 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\common\Sidebar.tsx                                         | TypeScript JSX |        185 |          8 |         12 |        205 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\common\table.tsx                                           | TypeScript JSX |        115 |          4 |          5 |        124 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\DashboardHomePage.tsx                                 | TypeScript JSX |        117 |          3 |          7 |        127 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\components\MetricCard.tsx                             | TypeScript JSX |         29 |          0 |          4 |         33 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\components\TransactionChart.tsx                       | TypeScript JSX |        136 |          0 |         11 |        147 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\components\TransactionTable.tsx                       | TypeScript JSX |        200 |          4 |          8 |        212 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\home\services\dashboardService.ts                          | TypeScript     |         63 |          0 |          5 |         68 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\NotificationsPage.tsx                        | TypeScript JSX |         17 |          0 |          3 |         20 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\AddNotificationModal.tsx          | TypeScript JSX |        385 |          3 |          9 |        397 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\NotificationModal.tsx             | TypeScript JSX |        159 |          2 |          6 |        167 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\NotificationsTable.tsx            | TypeScript JSX |        272 |          6 |         10 |        288 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\components\UpdateNotificationModal.tsx       | TypeScript JSX |        364 |          3 |          8 |        375 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\hooks\useNotificationsTable.ts               | TypeScript     |        187 |          5 |         12 |        204 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\services\notificationService.ts              | TypeScript     |        342 |         12 |         32 |        386 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\notifications\types\types.ts                               | TypeScript     |         38 |          0 |          2 |         40 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\ProductsPage.tsx                                  | TypeScript JSX |         18 |          0 |          4 |         22 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\AddProductModal.tsx                    | TypeScript JSX |        537 |          1 |         15 |        553 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\ProductModal.tsx                       | TypeScript JSX |        856 |          2 |         19 |        877 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\components\ProductsTable.tsx                      | TypeScript JSX |        485 |          5 |         18 |        508 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useCategories.ts                            | TypeScript     |         61 |          0 |          9 |         70 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductFilters.ts                        | TypeScript     |         27 |          0 |          4 |         31 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductForm.ts                           | TypeScript     |        222 |          3 |         18 |        243 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProductModal.ts                          | TypeScript     |         25 |          0 |          4 |         29 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useProducts.ts                              | TypeScript     |        135 |          1 |         14 |        150 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\hooks\useWarrantyProviders.ts                     | TypeScript     |         62 |          0 |          9 |         71 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\services\productService.ts                        | TypeScript     |        547 |          0 |         25 |        572 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\products\types\types.ts                                    | TypeScript     |         82 |          0 |          8 |         90 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\ProfilePage.tsx                                    | TypeScript JSX |         26 |          1 |          4 |         31 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\components\ApiKeyInput.tsx                         | TypeScript JSX |         45 |          0 |          3 |         48 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\components\ProfileForm.tsx                         | TypeScript JSX |        289 |          3 |         13 |        305 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\hooks\useProfileForm.ts                            | TypeScript     |        234 |          8 |         23 |        265 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\services\companyService.ts                         | TypeScript     |         19 |          0 |          4 |         23 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\profile\types\company.ts                                   | TypeScript     |         30 |          0 |          3 |         33 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\RecordsPage.tsx                                    | TypeScript JSX |         18 |          1 |          5 |         24 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\AddRecordModal.tsx                      | TypeScript JSX |        312 |          4 |         15 |        331 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\RecordModal.tsx                         | TypeScript JSX |        254 |          4 |          8 |        266 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\RecordsTable.tsx                        | TypeScript JSX |        400 |          5 |         13 |        418 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\VerifiedRecordModal.tsx                 | TypeScript JSX |        391 |          1 |         12 |        404 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\components\VerifyRecordModal.tsx                   | TypeScript JSX |        207 |          1 |         15 |        223 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\hooks\useRecordsTable.ts                           | TypeScript     |        161 |          2 |         15 |        178 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\services\recordService.ts                          | TypeScript     |        268 |          3 |         12 |        283 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\records\types\types.ts                                     | TypeScript     |         42 |          2 |          4 |         48 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\ReviewsPage.tsx                                    | TypeScript JSX |         18 |          0 |          4 |         22 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\components\ReviewModal.tsx                         | TypeScript JSX |        110 |          0 |          6 |        116 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\components\ReviewsTable.tsx                        | TypeScript JSX |        296 |          4 |          9 |        309 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\hooks\useReviews.ts                                | TypeScript     |         64 |          0 |          6 |         70 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\services\reviewService.ts                          | TypeScript     |         46 |          0 |          5 |         51 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\reviews\types\types.ts                                     | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\UsersPage.tsx                                        | TypeScript JSX |        166 |          1 |         11 |        178 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\AddUserModal.tsx                          | TypeScript JSX |        195 |          4 |         14 |        213 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\UpdateUserModal.tsx                       | TypeScript JSX |        169 |          3 |         12 |        184 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\components\UsersTable.tsx                            | TypeScript JSX |        147 |          3 |          6 |        156 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\hooks\useUsers.ts                                    | TypeScript     |         55 |          0 |          6 |         61 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\services\userService.ts                              | TypeScript     |        109 |          0 |          9 |        118 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\users\types\types.ts                                       | TypeScript     |          7 |          0 |          1 |          8 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\WarrantyProvidersPage.tsx               | TypeScript JSX |         70 |          0 |          8 |         78 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\AddWarrantyProviderModal.tsx | TypeScript JSX |        536 |          0 |         19 |        555 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\StatusMessage.tsx            | TypeScript JSX |         57 |          0 |          6 |         63 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\WarrantyProviderModal.tsx    | TypeScript JSX |        563 |          1 |         26 |        590 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\components\WarrantyProvidersTable.tsx   | TypeScript JSX |        133 |          2 |          6 |        141 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\hooks\useProviders.ts                   | TypeScript     |         80 |          2 |          7 |         89 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\hooks\useWarrantyProviderState.ts       | TypeScript     |        160 |          0 |         11 |        171 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\services\warrantyProviderService.ts     | TypeScript     |        133 |          0 |         10 |        143 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\features\dashboard\warranty_providers\types\types.ts                          | TypeScript     |         17 |          0 |          2 |         19 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\hooks\useDebounce.ts                                                          | TypeScript     |         13 |          0 |          5 |         18 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\i18n.ts                                                                       | TypeScript     |         99 |          3 |          7 |        109 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\layouts\AuthLayout.tsx                                                        | TypeScript JSX |         17 |          1 |          3 |         21 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\layouts\CompanyDashboardLayout.tsx                                            | TypeScript JSX |         27 |          0 |          4 |         31 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\lib\supabase.ts                                                               | TypeScript     |         20 |          2 |          6 |         28 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\common.json                                                        | JSON           |         23 |          0 |          1 |         24 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\dashboard.json                                                     | JSON           |         60 |          0 |          1 |         61 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\login.json                                                         | JSON           |         18 |          0 |          1 |         19 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\notifications.json                                                 | JSON           |         89 |          0 |          1 |         90 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\products.json                                                      | JSON           |        133 |          0 |          1 |        134 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\profile.json                                                       | JSON           |         53 |          0 |          1 |         54 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\records.json                                                       | JSON           |        134 |          0 |          1 |        135 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\register.json                                                      | JSON           |        113 |          0 |          0 |        113 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\reviews.json                                                       | JSON           |         37 |          0 |          1 |         38 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\users.json                                                         | JSON           |         68 |          0 |          1 |         69 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\ar\warranty_providers.json                                            | JSON           |         89 |          0 |          1 |         90 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\common.json                                                        | JSON           |         23 |          0 |          1 |         24 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\dashboard.json                                                     | JSON           |         60 |          0 |          1 |         61 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\login.json                                                         | JSON           |         18 |          0 |          1 |         19 |
| c:\Users\abdu1\Desktop\Programmig\Dhamani-Project\dhamani-company-web\src\locales\en\notifications.json                                                 | JSON           |         89 |          0 |          1 |         90 |
